Comment,Designator,Footprint,LCSC,Quantity
100n,C5,C_0402_1005Metric,C1525,1
10k,R3,R_0402_1005Metric,C25744,1
10u,C3,C_1206_3216Metric,C13585,1
10uH,L1,L_Wurth_WE-LQSH-3012,C5289310,1
1N4148W,"D1,D2",D_SOD-323,C2128,2
1k,R4,R_0402_1005Metric,C11702,1
20k,R2,R_0402_1005Metric,C25765,1
220p,C1,C_0402_1005Metric,C1530,1
22u,C2,C_1206_3216Metric,C12891,1
61k9,R1,R_0402_1005Metric,C25912,1
Conn_01x03_Pin,J1,CONN_S3B-XH-SM4-TBLFSN_JST,C5306495,1
TJA1027T,U4,SOIC-8_3.9x4.9mm_P1.27mm,C194371,1
TPS560200,U2,SOT-23-5,C83671,1
ESP32-C3_SUPERMINI,U1,ESP32-C3 SUPERMINI,,1
